canonical_id,canonical_name,domain,food_group,source_dataset,fdc_id,source,match_status,reported_nutrients,missing_nutrients,unknown_nutrients,nonzero_reported_nutrients,zero_reported_nutrients,total_nutrients,reported_ratio,nonzero_reported_ratio,missing_nutrient_keys,unknown_nutrient_keys,reported_zero_nutrient_keys
tangerine,Tangerine,Plant foods,Fruits (core),sr_legacy_food,169105,usda,curated,19,2,0,16,3,21,0.9048,0.7619,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_k_ug|vitamin_b12_ug
tomato,Tomato,Plant foods,Solanaceae,sr_legacy_food,170457,usda,curated,19,2,0,16,3,21,0.9048,0.7619,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug|selenium_ug
turkey-breast,Turkey breast,Animal foods,Poultry cuts,sr_legacy_food,172941,usda,curated,19,2,0,16,3,21,0.9048,0.7619,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg|vitamin_k_ug
turmeric,Turmeric,Plant foods,Tubers and roots,sr_legacy_food,172231,usda,curated,19,2,0,16,3,21,0.9048,0.7619,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_d_ug|vitamin_b12_ug
wild-rice,Wild rice,Plant foods,Poaceae (grains),sr_legacy_food,169726,usda,curated,19,2,0,16,3,21,0.9048,0.7619,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_d_ug|vitamin_b12_ug
apricot,Apricot,Plant foods,Fruits (core),sr_legacy_food,171697,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
artichoke,Artichoke,Plant foods,Asteraceae,sr_legacy_food,169205,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
arugula,Arugula,Plant foods,Brassicaceae,sr_legacy_food,169387,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
avocado,Avocado,Plant foods,Fruits (core),sr_legacy_food,171705,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
banana,Banana,Plant foods,Fruits (core),sr_legacy_food,173944,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
beef-heart,Beef heart,Animal foods,Animal organs,sr_legacy_food,169448,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
beet,Beet,Plant foods,Amaranthaceae,sr_legacy_food,170375,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
blueberry,Blueberry,Plant foods,Fruits (core),sr_legacy_food,171711,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
bok-choy,Bok choy,Plant foods,Brassicaceae,sr_legacy_food,170390,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
broccoli,Broccoli,Plant foods,Brassicaceae,sr_legacy_food,170379,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
brussels-sprouts,Brussels sprouts,Plant foods,Brassicaceae,sr_legacy_food,170383,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
butter,Butter,Animal foods,Dairy,sr_legacy_food,173410,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_d_ug
butternut-squash,Butternut squash,Plant foods,Cucurbitaceae,sr_legacy_food,169295,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
cabbage,Cabbage,Plant foods,Brassicaceae,sr_legacy_food,169975,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
canned-tomatoes,Canned tomatoes,Plant foods,Staples (home-cook processed),sr_legacy_food,170501,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
carrot,Carrot,Plant foods,Apiaceae,sr_legacy_food,170500,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
cassava,Cassava,Plant foods,Tubers and roots,sr_legacy_food,169985,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
catfish,Catfish,Animal foods,Fish (species-level),sr_legacy_food,175165,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
celery,Celery,Plant foods,Apiaceae,sr_legacy_food,169988,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
chicken-breast,Chicken breast,Animal foods,Poultry cuts,sr_legacy_food,171474,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_k_ug
chicken-liver,Chicken liver,Animal foods,Animal organs,sr_legacy_food,171060,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_k_ug
chili-pepper,Chili pepper,Plant foods,Solanaceae,sr_legacy_food,170106,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
chive,Chive,Plant foods,Allium,sr_legacy_food,169994,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
chop-lamb-goat,Chop (lamb/goat),Animal foods,Lamb and goat cuts,canadian_nutrient_file,cnf-3496,supplemental,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
cilantro,Cilantro,Plant foods,Apiaceae,sr_legacy_food,169997,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
clam,Clam,Animal foods,Shellfish,sr_legacy_food,174214,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_d_ug
cow-s-milk-skim,Cow's milk (skim),Animal foods,Dairy,sr_legacy_food,171269,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_k_ug
cream-cheese,Cream cheese,Animal foods,Staples (home-cook processed),sr_legacy_food,173418,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_d_ug
cucumber,Cucumber,Plant foods,Cucurbitaceae,sr_legacy_food,169225,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
eggplant,Eggplant,Plant foods,Solanaceae,sr_legacy_food,169228,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
endive,Endive,Plant foods,Asteraceae,sr_legacy_food,168412,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
fennel,Fennel,Plant foods,Apiaceae,sr_legacy_food,169385,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
flank,Flank,Animal foods,Beef cuts,sr_legacy_food,168609,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
grapes,Grapes,Plant foods,Fruits (core),sr_legacy_food,174682,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
green-bean,Green bean,Plant foods,Fabaceae (legumes),sr_legacy_food,169961,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
ground-lamb,Ground lamb,Animal foods,Ground meats,sr_legacy_food,174370,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
ground-turkey,Ground turkey,Animal foods,Ground meats,sr_legacy_food,171505,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_k_ug
half-and-half,Half and half,Animal foods,Dairy,sr_legacy_food,172212,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|iron_mg
hazelnut,Hazelnut,Plant foods,Nuts,sr_legacy_food,170581,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
kale,Kale,Plant foods,Brassicaceae,sr_legacy_food,168421,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
kelp,Kelp,Algae and sea vegetables,Seaweeds and algae,sr_legacy_food,168457,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
ketchup,Ketchup,Plant foods,Staples (home-cook processed),canadian_nutrient_file,cnf-2494,supplemental,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
kiwi,Kiwi,Plant foods,Fruits (core),sr_legacy_food,168153,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
leek,Leek,Plant foods,Allium,sr_legacy_food,169246,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
leg-lamb-goat,Leg (lamb/goat),Animal foods,Lamb and goat cuts,sr_legacy_food,174312,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
lentil,Lentil,Plant foods,Fabaceae (legumes),sr_legacy_food,172420,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
lettuce,Lettuce,Plant foods,Asteraceae,sr_legacy_food,168431,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
lime,Lime,Plant foods,Fruits (core),sr_legacy_food,168155,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
mango,Mango,Plant foods,Fruits (core),sr_legacy_food,169910,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
miso,Miso,Fermented foods,Fermented foods,sr_legacy_food,172442,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_d_ug
mustard,Mustard,Plant foods,Staples (home-cook processed),sr_legacy_food,169256,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
mustard-greens,Mustard greens,Plant foods,Brassicaceae,sr_legacy_food,169256,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
naan,Naan,Plant foods,Flour-made items,canadian_nutrient_file,cnf-6606,supplemental,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
oxtail,Oxtail,Animal foods,Beef cuts,canadian_nutrient_file,cnf-1092,supplemental,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_d_ug
oyster,Oyster,Animal foods,Shellfish,sr_legacy_food,171978,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_d_ug
papaya,Papaya,Plant foods,Fruits (core),sr_legacy_food,169926,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
parsley,Parsley,Plant foods,Apiaceae,sr_legacy_food,170416,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
pea,Pea,Plant foods,Fabaceae (legumes),sr_legacy_food,170419,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
peach,Peach,Plant foods,Fruits (core),sr_legacy_food,169928,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
pear,Pear,Plant foods,Fruits (core),sr_legacy_food,169118,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
pecan,Pecan,Plant foods,Nuts,sr_legacy_food,170182,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
pine-nut,Pine nut,Plant foods,Seeds,sr_legacy_food,170591,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
pineapple,Pineapple,Plant foods,Fruits (core),sr_legacy_food,169124,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
pumpkin,Pumpkin,Plant foods,Cucurbitaceae,sr_legacy_food,168448,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
pumpkin-seed,Pumpkin seed,Plant foods,Seeds,sr_legacy_food,170556,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
radicchio,Radicchio,Plant foods,Asteraceae,sr_legacy_food,168564,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
raspberry,Raspberry,Plant foods,Fruits (core),sr_legacy_food,167755,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
round,Round,Animal foods,Beef cuts,sr_legacy_food,171820,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
sauerkraut,Sauerkraut,Fermented foods,Fermented foods,sr_legacy_food,169279,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
scallion,Scallion,Plant foods,Allium,sr_legacy_food,170005,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
shank-lamb-goat,Shank (lamb/goat),Animal foods,Lamb and goat cuts,sr_legacy_food,172482,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
shoulder-lamb-goat,Shoulder (lamb/goat),Animal foods,Lamb and goat cuts,sr_legacy_food,172496,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
soybean,Soybean,Plant foods,Fabaceae (legumes),sr_legacy_food,174270,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
spaghetti-squash,Spaghetti squash,Plant foods,Cucurbitaceae,sr_legacy_food,169298,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
spinach,Spinach,Plant foods,Amaranthaceae,sr_legacy_food,168462,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
spirulina,Spirulina,Algae and sea vegetables,Seaweeds and algae,sr_legacy_food,170091,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
squid,Squid,Animal foods,Shellfish,sr_legacy_food,174223,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_k_ug
strawberry,Strawberry,Plant foods,Fruits (core),sr_legacy_food,167762,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
sweet-potato,Sweet potato,Plant foods,Tubers and roots,sr_legacy_food,168482,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
swiss,Swiss,Animal foods,Dairy,sr_legacy_food,169991,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
swiss-chard,Swiss chard,Plant foods,Amaranthaceae,sr_legacy_food,169991,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
taro,Taro,Plant foods,Tubers and roots,sr_legacy_food,169308,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
tenderloin,Tenderloin,Animal foods,Beef cuts,sr_legacy_food,169543,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
tilapia,Tilapia,Animal foods,Fish (species-level),sr_legacy_food,175176,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_c_mg
tomato-paste,Tomato paste,Plant foods,Staples (home-cook processed),sr_legacy_food,170459,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
tomato-sauce,Tomato sauce,Plant foods,Staples (home-cook processed),sr_legacy_food,169074,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
tuna-albacore,Tuna (albacore),Animal foods,Fish (species-level),sr_legacy_food,173706,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_k_ug
turkey-thigh,Turkey thigh,Animal foods,Poultry cuts,sr_legacy_food,171129,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_k_ug
turnip,Turnip,Plant foods,Brassicaceae,sr_legacy_food,170061,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
wakame,Wakame,Algae and sea vegetables,Seaweeds and algae,sr_legacy_food,170496,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
walnut,Walnut,Plant foods,Nuts,sr_legacy_food,170187,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
watermelon,Watermelon,Plant foods,Cucurbitaceae,sr_legacy_food,167765,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
white-mushroom,White mushroom,Fungi,Mushrooms,sr_legacy_food,169251,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_k_ug
whole-turkey,Whole turkey,Animal foods,Poultry cuts,sr_legacy_food,171083,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_c_mg|vitamin_k_ug
yam,Yam,Plant foods,Tubers and roots,sr_legacy_food,170071,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
yogurt-plain-nonfat,"Yogurt (plain, nonfat)",Animal foods,Dairy,sr_legacy_food,170901,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_a_ug|vitamin_k_ug
zucchini,Zucchini,Plant foods,Cucurbitaceae,sr_legacy_food,169291,usda,curated,19,2,0,17,2,21,0.9048,0.8095,vitamin_b7_ug|omega3_g,,vitamin_d_ug|vitamin_b12_ug
american-cheese,American cheese,Animal foods,Staples (home-cook processed),sr_legacy_food,170853,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
anchovy,Anchovy,Animal foods,Fish (species-level),canadian_nutrient_file,cnf-2984,supplemental,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
beef-brain,Beef brain,Animal foods,Animal organs,sr_legacy_food,168624,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_d_ug
beef-kidney,Beef kidney,Animal foods,Animal organs,canadian_nutrient_file,cnf-2787,supplemental,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_k_ug
beef-tongue,Beef tongue,Animal foods,Animal organs,canadian_nutrient_file,cnf-2669,supplemental,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_a_ug
bread,Bread,Plant foods,Flour-made items,sr_legacy_food,167943,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
bread-crumbs,Bread crumbs,Plant foods,Staples (home-cook processed),sr_legacy_food,172806,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_d_ug
brisket,Brisket,Animal foods,Beef cuts,sr_legacy_food,168657,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
cheddar,Cheddar,Animal foods,Dairy,sr_legacy_food,170899,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
chicken-drumstick,Chicken drumstick,Animal foods,Poultry cuts,sr_legacy_food,172373,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
chicken-egg,Chicken egg,Animal foods,Eggs,sr_legacy_food,172104,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_d_ug
chicken-thigh,Chicken thigh,Animal foods,Poultry cuts,sr_legacy_food,172385,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
chicken-wing,Chicken wing,Animal foods,Poultry cuts,sr_legacy_food,173632,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_k_ug
chinook-salmon,Chinook salmon,Animal foods,Fish (species-level),sr_legacy_food,173687,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
chuck,Chuck,Animal foods,Beef cuts,sr_legacy_food,170809,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
cow-s-milk,Cow's milk,Animal foods,Dairy,sr_legacy_food,171265,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
cow-s-milk-1,Cow's milk (1%),Animal foods,Dairy,sr_legacy_food,170872,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
crab,Crab,Animal foods,Shellfish,sr_legacy_food,171966,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_d_ug
duck-egg,Duck egg,Animal foods,Eggs,sr_legacy_food,172189,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
egg-noodles,Egg noodles,Plant foods,Staples (home-cook processed),sr_legacy_food,169731,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
egg-yolk,Egg yolk,Animal foods,Eggs,sr_legacy_food,172184,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
feta,Feta,Animal foods,Dairy,sr_legacy_food,173420,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
fresh-ham,Fresh ham,Animal foods,Pork cuts,sr_legacy_food,168224,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_k_ug
fried-egg-chicken,Fried egg (chicken),Animal foods,Eggs,sr_legacy_food,173423,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
ghee,Ghee,Animal foods,Dairy,canadian_nutrient_file,cnf-92,supplemental,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
gouda,Gouda,Animal foods,Dairy,sr_legacy_food,171241,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
ground-beef-10-fat,Ground beef (10% fat),Animal foods,Ground meats,sr_legacy_food,174030,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
ground-beef-15-fat,Ground beef (15% fat),Animal foods,Ground meats,sr_legacy_food,171796,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
ground-beef-20-fat,Ground beef (20% fat),Animal foods,Ground meats,sr_legacy_food,174036,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
ground-beef-30-fat,Ground beef (30% fat),Animal foods,Ground meats,sr_legacy_food,168652,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
ground-beef-4-fat,Ground beef (4% fat),Animal foods,Ground meats,sr_legacy_food,173111,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
ground-beef-7-fat,Ground beef (7% fat),Animal foods,Ground meats,sr_legacy_food,173110,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
gruyere,Gruyere,Animal foods,Dairy,sr_legacy_food,171242,usda,curated,19,2,0,18,1,21,0.9048,0.8571,vitamin_b7_ug|omega3_g,,vitamin_c_mg
