"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"28540651","2340761","631","0.001","","","","","","",""
"28540590","2340761","204","2.14","","","","","","",""
"28540619","2340761","405","0.137","","","","","","",""
"28540627","2340761","432","1.0","","","","","","",""
"28540640","2340761","614","0.208","","","","","","",""
"28540648","2340761","628","0.002","","","","","","",""
"28540634","2340761","608","0.036","","","","","","",""
"28540635","2340761","609","0.023","","","","","","",""
"28540611","2340761","322","0.0","","","","","","",""
"28540617","2340761","401","0.1","","","","","","",""
"28540595","2340761","262","0.0","","","","","","",""
"28540665","2340762","303","0.0","","","","","","",""
"28540659","2340762","255","88.1","","","","","","",""
"28540678","2340762","328","1.1","","","","","","",""
"28540662","2340762","269","4.81","","","","","","",""
"28540701","2340762","610","0.084","","","","","","",""
"28540703","2340762","612","0.303","","","","","","",""
"28540657","2340762","208","61.0","","","","","","",""
"28540673","2340762","319","31.0","","","","","","",""
"28540658","2340762","221","0.0","","","","","","",""
"28540677","2340762","323","0.05","","","","","","",""
"28540676","2340762","322","0.0","","","","","","",""
"28540655","2340762","204","3.2","","","","","","",""
"28540666","2340762","304","12.0","","","","","","",""
"28540685","2340762","406","0.105","","","","","","",""
"28540681","2340762","338","0.0","","","","","","",""
"28540710","2340762","621","0.0","","","","","","",""
"28540656","2340762","205","4.63","","","","","","",""
"28540696","2340762","601","12.0","","","","","","",""
"28540718","2340762","646","0.108","","","","","","",""
"28540717","2340762","645","0.688","","","","","","",""
"28540704","2340762","613","0.857","","","","","","",""
"28540682","2340762","401","0.0","","","","","","",""
"28540698","2340762","607","0.067","","","","","","",""
"28540670","2340762","309","0.42","","","","","","",""
"28540687","2340762","417","0.0","","","","","","",""
"28540689","2340762","421","17.8","","","","","","",""
"28540706","2340762","617","0.694","","","","","","",""
"28540694","2340762","573","0.0","","","","","","",""
"28540708","2340762","619","0.013","","","","","","",""
"28540686","2340762","415","0.061","","","","","","",""
"28540713","2340762","628","0.004","","","","","","",""
"28540690","2340762","430","0.3","","","","","","",""
"28540654","2340762","203","3.27","","","","","","",""
"28540712","2340762","627","0.0","","","","","","",""
"28540709","2340762","620","0.004","","","","","","",""
"28540702","2340762","611","0.097","","","","","","",""
"28540684","2340762","405","0.138","","","","","","",""
"28540661","2340762","263","0.0","","","","","","",""
"28540675","2340762","321","7.0","","","","","","",""
"28540680","2340762","337","0.0","","","","","","",""
"28540679","2340762","334","0.0","","","","","","",""
"28540663","2340762","291","0.0","","","","","","",""
"28540695","2340762","578","0.0","","","","","","",""
"28540699","2340762","608","0.054","","","","","","",""
"28540697","2340762","606","1.86","","","","","","",""
"28540707","2340762","618","0.115","","","","","","",""
"28540674","2340762","320","32.0","","","","","","",""
"28540716","2340762","631","0.002","","","","","","",""
"28540660","2340762","262","0.0","","","","","","",""
"28540715","2340762","630","0.0","","","","","","",""
"28540700","2340762","609","0.034","","","","","","",""
"28540711","2340762","626","0.047","","","","","","",""
"28540688","2340762","418","0.54","","","","","","",""
"28540664","2340762","301","123.0","","","","","","",""
"28540669","2340762","307","38.0","","","","","","",""
"28540705","2340762","614","0.309","","","","","","",""
"28540672","2340762","317","1.9","","","","","","",""
"28540714","2340762","629","0.001","","","","","","",""
"28540691","2340762","431","0.0","","","","","","",""
"28540668","2340762","306","150.0","","","","","","",""
"28540683","2340762","404","0.056","","","","","","",""
"28540693","2340762","435","0.0","","","","","","",""
"28540692","2340762","432","0.0","","","","","","",""
"28540671","2340762","312","0.001","","","","","","",""
"28540667","2340762","305","101.0","","","","","","",""
"28540769","2340763","613","0.512","","","","","","",""
"28540753","2340763","418","0.55","","","","","","",""
"28540727","2340763","269","4.89","","","","","","",""
"28540754","2340763","421","18.2","","","","","","",""
"28540722","2340763","208","50.0","","","","","","",""
"28540734","2340763","307","39.0","","","","","","",""
"28540735","2340763","309","0.43","","","","","","",""
"28540728","2340763","291","0.0","","","","","","",""
"28540774","2340763","620","0.003","","","","","","",""
"28540741","2340763","322","0.0","","","","","","",""
"28540744","2340763","334","0.0","","","","","","",""
"28540746","2340763","338","0.0","","","","","","",""
"28540783","2340763","646","0.058","","","","","","",""
"28540724","2340763","255","89.1","","","","","","",""
"28540726","2340763","263","0.0","","","","","","",""
"28540768","2340763","612","0.181","","","","","","",""
"28540761","2340763","601","8.0","","","","","","",""
"28540742","2340763","323","0.03","","","","","","",""
"28540763","2340763","607","0.041","","","","","","",""
"28540738","2340763","319","83.0","","","","","","",""
"28540723","2340763","221","0.0","","","","","","",""
"28540755","2340763","430","0.2","","","","","","",""
"28540767","2340763","611","0.058","","","","","","",""
"28540745","2340763","337","0.0","","","","","","",""
"28540729","2340763","301","126.0","","","","","","",""
"28540737","2340763","317","1.8","","","","","","",""
"28540765","2340763","609","0.021","","","","","","",""
"28540759","2340763","573","0.0","","","","","","",""
"28540760","2340763","578","0.0","","","","","","",""
"28540730","2340763","303","0.0","","","","","","",""
"28540778","2340763","628","0.002","","","","","","",""
"28540770","2340763","614","0.184","","","","","","",""
"28540750","2340763","406","0.112","","","","","","",""
"28540739","2340763","320","83.0","","","","","","",""
"28540747","2340763","401","0.2","","","","","","",""
"28540756","2340763","431","0.0","","","","","","",""
"28540743","2340763","328","1.1","","","","","","",""
"28540721","2340763","205","4.9","","","","","","",""
"28540775","2340763","621","0.0","","","","","","",""
"28540752","2340763","417","2.0","","","","","","",""
"28540732","2340763","305","103.0","","","","","","",""
"28540748","2340763","404","0.059","","","","","","",""
"28540740","2340763","321","3.0","","","","","","",""
"28540751","2340763","415","0.061","","","","","","",""
"28540780","2340763","630","0.0","","","","","","",""
"28540781","2340763","631","0.001","","","","","","",""
"28540757","2340763","432","2.0","","","","","","",""
"28540733","2340763","306","159.0","","","","","","",""
"28540771","2340763","617","0.41","","","","","","",""
"28540773","2340763","619","0.007","","","","","","",""
"28540764","2340763","608","0.032","","","","","","",""
"28540720","2340763","204","1.9","","","","","","",""
"28540779","2340763","629","0.0","","","","","","",""
"28540762","2340763","606","1.11","","","","","","",""
"28540725","2340763","262","0.0","","","","","","",""
"28540749","2340763","405","0.137","","","","","","",""
"28540719","2340763","203","3.36","","","","","","",""
"28540736","2340763","312","0.001","","","","","","",""
"28540777","2340763","627","0.0","","","","","","",""
"28540782","2340763","645","0.4","","","","","","",""
"28540772","2340763","618","0.061","","","","","","",""
"28540758","2340763","435","2.0","","","","","","",""
"28540766","2340763","610","0.049","","","","","","",""
"28540776","2340763","626","0.029","","","","","","",""
"28540731","2340763","304","12.0","","","","","","",""
"28540833","2340764","612","0.093","","","","","","",""
"28540810","2340764","337","0.0","","","","","","",""
"28540847","2340764","645","0.21","","","","","","",""
"28540839","2340764","620","0.001","","","","","","",""
"28540813","2340764","404","0.057","","","","","","",""
"28540809","2340764","334","0.0","","","","","","",""
"28540817","2340764","417","2.0","","","","","","",""
"28540830","2340764","609","0.011","","","","","","",""
"28540814","2340764","405","0.14","","","","","","",""
"28540831","2340764","610","0.023","","","","","","",""
"28540835","2340764","614","0.096","","","","","","",""
"28540838","2340764","619","0.004","","","","","","",""
"28540799","2340764","307","39.0","","","","","","",""
"28540827","2340764","606","0.568","","","","","","",""
"28540805","2340764","321","1.0","","","","","","",""
"28540840","2340764","621","0.0","","","","","","",""
"28540842","2340764","627","0.0","","","","","","",""
"28540843","2340764","628","0.001","","","","","","",""
"28540789","2340764","255","89.7","","","","","","",""
"28540816","2340764","415","0.06","","","","","","",""
"28540826","2340764","601","5.0","","","","","","",""
"28540829","2340764","608","0.015","","","","","","",""
"28540788","2340764","221","0.0","","","","","","",""
"28540820","2340764","430","0.1","","","","","","",""
"28540832","2340764","611","0.026","","","","","","",""
"28540845","2340764","630","0.0","","","","","","",""
"28540787","2340764","208","43.0","","","","","","",""
"28540803","2340764","319","58.0","","","","","","",""
"28540841","2340764","626","0.014","","","","","","",""
"28540836","2340764","617","0.214","","","","","","",""
"28540808","2340764","328","1.1","","","","","","",""
"28540785","2340764","204","0.95","","","","","","",""
"28540823","2340764","435","2.0","","","","","","",""
"28540818","2340764","418","0.61","","","","","","",""
"28540837","2340764","618","0.033","","","","","","",""
"28540792","2340764","269","4.96","","","","","","",""
"28540825","2340764","578","0.0","","","","","","",""
"28540795","2340764","303","0.0","","","","","","",""
"28540824","2340764","573","0.0","","","","","","",""
"28540828","2340764","607","0.022","","","","","","",""
"28540786","2340764","205","5.18","","","","","","",""
"28540790","2340764","262","0.0","","","","","","",""
"28540819","2340764","421","17.4","","","","","","",""
"28540796","2340764","304","12.0","","","","","","",""
"28540800","2340764","309","0.43","","","","","","",""
"28540844","2340764","629","0.0","","","","","","",""
"28540812","2340764","401","0.0","","","","","","",""
"28540791","2340764","263","0.0","","","","","","",""
"28540848","2340764","646","0.032","","","","","","",""
"28540834","2340764","613","0.265","","","","","","",""
"28540793","2340764","291","0.0","","","","","","",""
"28540804","2340764","320","58.0","","","","","","",""
"28540784","2340764","203","3.38","","","","","","",""
"28540798","2340764","306","159.0","","","","","","",""
"28540797","2340764","305","103.0","","","","","","",""
"28540846","2340764","631","0.0","","","","","","",""
"28540794","2340764","301","126.0","","","","","","",""
"28540801","2340764","312","0.001","","","","","","",""
"28540815","2340764","406","0.113","","","","","","",""
"28540807","2340764","323","0.02","","","","","","",""
"28540822","2340764","432","2.0","","","","","","",""
"28540806","2340764","322","0.0","","","","","","",""
"28540811","2340764","338","0.0","","","","","","",""
"28540802","2340764","317","2.1","","","","","","",""
"28540821","2340764","431","0.0","","","","","","",""
"28540895","2340765","609","0.001","","","","","","",""
"28540877","2340765","401","0.0","","","","","","",""
"28540896","2340765","610","0.002","","","","","","",""
"28540859","2340765","301","132.0","","","","","","",""
"28540888","2340765","435","2.0","","","","","","",""
"28540850","2340765","204","0.08","","","","","","",""
"28540849","2340765","203","3.43","","","","","","",""
"28540860","2340765","303","0.0","","","","","","",""
"28540908","2340765","628","0.0","","","","","","",""
"28540900","2340765","614","0.009","","","","","","",""
"28540858","2340765","291","0.0","","","","","","",""
"28540894","2340765","608","0.001","","","","","","",""
"28540862","2340765","305","107.0","","","","","","",""
"28540865","2340765","309","0.45","","","","","","",""
"28540851","2340765","205","4.92","","","","","","",""
"28540898","2340765","612","0.008","","","","","","",""
"28540856","2340765","263","0.0","","","","","","",""
"28540853","2340765","221","0.0","","","","","","",""
"28540904","2340765","620","0.0","","","","","","",""
"28540892","2340765","606","0.049","","","","","","",""
"28540885","2340765","430","0.0","","","","","","",""
"28540861","2340765","304","12.0","","","","","","",""
"28540868","2340765","319","64.0","","","","","","",""
"28540884","2340765","421","18.2","","","","","","",""
"28540857","2340765","269","5.05","","","","","","",""
"28540879","2340765","405","0.131","","","","","","",""
"28540886","2340765","431","0.0","","","","","","",""
"28540903","2340765","619","0.0","","","","","","",""
"28540893","2340765","607","0.003","","","","","","",""
"28540872","2340765","323","0.0","","","","","","",""
"28540873","2340765","328","1.1","","","","","","",""
"28540911","2340765","631","0.0","","","","","","",""
"28540876","2340765","338","0.0","","","","","","",""
"28540863","2340765","306","167.0","","","","","","",""
"28540870","2340765","321","2.0","","","","","","",""
"28540912","2340765","645","0.017","","","","","","",""
"28540890","2340765","578","0.0","","","","","","",""
"28540913","2340765","646","0.006","","","","","","",""
"28540910","2340765","630","0.0","","","","","","",""
"28540878","2340765","404","0.056","","","","","","",""
"28540864","2340765","307","41.0","","","","","","",""
"28540897","2340765","611","0.002","","","","","","",""
"28540869","2340765","320","64.0","","","","","","",""
"28540905","2340765","621","0.0","","","","","","",""
"28540882","2340765","417","2.0","","","","","","",""
"28540889","2340765","573","0.0","","","","","","",""
"28540866","2340765","312","0.002","","","","","","",""
"28540867","2340765","317","2.0","","","","","","",""
"28540854","2340765","255","90.8","","","","","","",""
"28540909","2340765","629","0.0","","","","","","",""
"28540906","2340765","626","0.001","","","","","","",""
"28540880","2340765","406","0.118","","","","","","",""
"28540907","2340765","627","0.0","","","","","","",""
"28540875","2340765","337","0.0","","","","","","",""
"28540899","2340765","613","0.021","","","","","","",""
"28540852","2340765","208","34.0","","","","","","",""
"28540855","2340765","262","0.0","","","","","","",""
"28540891","2340765","601","3.0","","","","","","",""
"28540883","2340765","418","0.58","","","","","","",""
"28540902","2340765","618","0.005","","","","","","",""
"28540887","2340765","432","2.0","","","","","","",""
"28540871","2340765","322","0.0","","","","","","",""
"28540874","2340765","334","0.0","","","","","","",""
"28540881","2340765","415","0.058","","","","","","",""
"28540901","2340765","617","0.018","","","","","","",""
"28540959","2340766","608","0.015","","","","","","",""
"28540929","2340766","307","39.0","","","","","","",""
"28540955","2340766","578","0.0","","","","","","",""
"28540916","2340766","205","5.18","","","","","","",""
"28540938","2340766","328","1.1","","","","","","",""
"28540927","2340766","305","103.0","","","","","","",""
"28540965","2340766","614","0.096","","","","","","",""
"28540977","2340766","645","0.21","","","","","","",""
"28540932","2340766","317","2.1","","","","","","",""
"28540926","2340766","304","12.0","","","","","","",""
"28540946","2340766","415","0.06","","","","","","",""
"28540951","2340766","431","0.0","","","","","","",""
"28540931","2340766","312","0.001","","","","","","",""
"28540947","2340766","417","2.0","","","","","","",""
"28540941","2340766","338","0.0","","","","","","",""
"28540950","2340766","430","0.1","","","","","","",""
